Laptop Dell Inspiron 15,Portátil con procesador Intel i5,25,Electrónica,Dell
Camiseta de algodón, camiseta básica de color blanco,100,Ropa,MarcaX
Galletas de chocolate, Galletas crujientes con trozos de chocolate,200,Alimentos,MarcaY
Aspiradora Dyson V11,Aspiradora sin cable potente y ligera,30,Hogar,Dyson
Muñeca Barbie,Mujer muñeca con accesorios y ropa intercambiable,150,Juguetes,Mattel
Smartphone Samsung Galaxy S21,Teléfono inteligente con cámara de alta resolución,40,Electrónica,Samsung
Pantalones vaqueros ajustados,Pantalones de mezclilla para hombre y mujer,80,Ropa,Levi's
Cereal integral,Cereal saludable con avena y frutas secas,120,Alimentos,Kellogg's
Batidora de mano,Batidora eléctrica para mezclar ingredientes fácilmente,60,Hogar,Braun
Juego de bloques LEGO,Juego de construcción creativa para niños mayores de 5 años,90,Juguetes,LEGO
Monitor LG UltraWide 29,Pantalla ultrapanorámica ideal para multitarea,35,Electrónica,LG
Chaqueta impermeable,Capa ligera y resistente al agua para días lluviosos,50,Ropa,Nike
Chocolate amargo 70%,Chocolate negro sin azúcares añadidos,250,Alimentos,Ghirardelli
Sofá de tres plazas,Sofá cómodo y moderno para sala de estar,15,Hogar,IKEA
Peluche de oso,Tierno peluche de oso para niños y adultos,200,Juguetes,Gund
Auriculares Bose QuietComfort 35,Auriculares inalámbricos con cancelación de ruido,20,Electrónica,Bose
Vestido de verano,Vestido ligero y fresco ideal para climas cálidos,70,Ropa,Zara
Aceite de oliva virgen extra,Aceite de oliva premium para cocina saludable,180,Alimentos,Bertolli
Lámpara LED regulable,Lámpara moderna con intensidad ajustable para el hogar,45,Hogar,Xiaomi
Juego de mesa Catan,Juego estratégico para 3-4 jugadores a partir de 10 años,65,Juguetes,Kosmos
Teclado mecánico Logitech,Gaming teclado mecánico retroiluminado RGB,25,Electrónica,Logitech
Sudadera con capucha,Sudadera cómoda y suave para uso diario,90,Ropa,H&M
Té verde orgánico,Té verde en hojas sueltas para infusión natural y saludable,150,Alimentos,Twinings
Cafetera Nespresso,Cafetera automática para preparar café expreso en casa,40,Hogar,Nespresso
Set de figuras Marvel,Figuras coleccionables de superhéroes Marvel en miniatura,110,Juguetes,Hasbro
Proyector portátil,Eproyector compacto ideal para presentaciones y cine en casa ,30,Electronica,Epson 
Zapatos deportivos Nike,Zapatos cómodos ideales para correr o hacer ejercicio ,60,Ropa,Nike 
Barra energética,Barras energéticas saludables con proteínas y fibra ,200 ,Alimentos ,Clif 
Estante modular,Mueble modular ideal para organizar espacios en casa ,25,Hogar,IKEA 
Rompecabezas 1000 piezas,Rompecabezas colorido para adultos y niños mayores ,40,Juguetes,Ravensburger 
Cámara digital Canon,Cámara compacta con lente zoom y video Full HD ,15,Electronica ,Canon 
Bufanda de lana,Bufanda suave y cálida ideal para invierno ,75,Ropa,Zara 
Frutos secos mixtos,Mix saludable de nueces y almendras sin sal añadida ,300 ,Alimentos ,Planters 
Silla ergonómica,Silla cómoda y ajustable ideal para oficina en casa ,20,Hogar ,Herman Miller 
Juego de cartas Uno,Juego clásico de cartas divertido para toda la familia ,50,Juguetes ,Mattel 
Reloj inteligente Fitbit,Reloj inteligente con seguimiento de actividad física ,35,Electronica ,Fitbit 
Chaqueta vaquera,Capa clásica en denim que nunca pasa de moda ,45,Ropa ,Levi's 
Mermelada artesanal,Mermelada sin conservantes elaborada a mano ,150 ,Alimentos ,La Casa del Dulce 
Cama matrimonial,Cama cómoda con colchón incluido ideal para dormitorio ,10,Hogar ,IKEA 
Juguete educativo Montessori,Juguete diseñado para desarrollar habilidades motoras en niños pequeños ,80,Juguetes ,Montessori 
Altavoz Bluetooth JBL,Poderoso altavoz portátil con sonido envolvente ,55,Electronica,JBL 
Calcetines deportivos,Calcetines cómodos ideales para hacer ejercicio o uso diario ,150,Ropa,Adidas
Sopa instantánea,Sopa rápida y fácil de preparar en minutos ,200,Alimentos,Nissin 
Mesa extensible,Mesa moderna que se adapta a diferentes espacios en casa ,20,Hogar,IKEA 
Muñeco Funko Pop,Famoso muñeco coleccionable basado en personajes populares del cine y la televisión ,100,Juguetes,Funko
